creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Sérgio Ferro;Brazil;Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo (FAU-USP)> Mackenzie> pós-graduação em museologia e evolução urbana na FAU-USP;-23.56012> -23.547> -23.56012;-46.72985> -46.652> -46.72985;Curitiba;;;male;https://www.escritoriodearte.com/artista/sergio-ferro | https://pt.wikipedia.org/wiki/S%C3%A9rgio_Ferro;;Mantida a identificação completa do artista como Sérgio Ferro Pereira.;Wikidata;alta;MAC USP;São Paulo (SP);formação concluída em 1962> pós-graduação concluída em 1965;https://www.escritoriodearte.com/artista/sergio-ferro | https://pt.wikipedia.org/wiki/S%C3%A9rgio_Ferro;alta;-25.4283563;-49.2732515;100.0;;;;;;;"entrevista/exposição recente; sem óbito identificado.";
Sérgio Ferro Pereira;;Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo (FAU-USP)> Mackenzie> pós-graduação em museologia e evolução urbana na FAU-USP;-23.56012> -23.547> -23.56012;-46.72985> -46.652> -46.72985;Curitiba, PR, Brasil;;;male;https://www.escritoriodearte.com/artista/sergio-ferro | https://pt.wikipedia.org/wiki/S%C3%A9rgio_Ferro;;Mantida a identificação completa do artista como Sérgio Ferro Pereira.;Enciclopédia Itaú Cultural;alta;;São Paulo (SP);formação concluída em 1962> pós-graduação concluída em 1965;https://www.escritoriodearte.com/artista/sergio-ferro | https://pt.wikipedia.org/wiki/S%C3%A9rgio_Ferro;alta;-25.4283563;-49.2732515;;;;;;;;"registro com nome expandido; atividade recente; sem óbito identificado.";
Sérgio Fingermann;Brazil;Faculty of Architecture and Urbanism of the University of São Paulo> Fundação Armando Álvares Penteado (FAAP);-23.56012> -23.5450155;-46.72985> -46.6630802;São Paulo;;;male;fontes biográficas de referência;;datas aproximadas;Wikidata;alta;MAC USP;São Paulo, Brasil;1970s;fontes biográficas de referência;media;-23.5486657;-46.6382522;100.0;;;;;;;"site oficial recente; sem óbito identificado.";
Sérgio Luís de Castro Bonson;Brazil;Universidade Federal de Santa Catarina (História);-27.6011;-48.52;Florianópolis, SC, Brasil;;Florianópolis;male;Quadrinhopédia> Museu Victor Meirelles;;graduado em História pela UFSC> fontes o descrevem como artista plástico autodidata;MASC;alta;Museu Victor Meirelles;Florianópolis, SC;1973;Quadrinhopédia;media;-27.5969123;-48.5495751;;-27.5969123;-48.5495751;100.0;MASC;Wikidata: Florianópolis;Wikidata: Florianópolis;;alta
Sérgio Milliet;Brazil;University of Bern> Universidade de Genebra;46.19899;6.14446;São Paulo;;São Paulo;male;fontes biográficas de referência;;formação em ciências sociais/letras, não em escola de arte;Wikidata;alta;MAC USP;Genebra, Suíça;1912–1918;fontes biográficas de referência;alta;-23.5486657;-46.6382522;100.0;-23.5503944444;-46.6339472222;100.0;Itaú Cultural;Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;alta
Sérgio Sister;Brazil;Fundação Armando Álvares Penteado (FAAP)> ateliê de Ernestina Karman;-23.5450155>;-46.6630802>;São Paulo, SP, Brasil;;;male;https://enciclopedia.itaucultural.org.br/pessoas/1045-sergio-sister;;;Enciclopédia Itaú Cultural;alta;MAC USP;São Paulo, Brasil> São Paulo, Brasil;1964–1967> 1965–1967;https://enciclopedia.itaucultural.org.br/pessoas/1045-sergio-sister;alta;-23.5486657;-46.6382522;;;;;;;;"site/atividade recente; sem óbito identificado.";
Sérvulo Esmeraldo;Brazil;École Nationale Supérieure des Beaux-Arts;45.768055555556;4.8172222222222;Crato;;Fortaleza;male;https://www.guiadasartes.com.br/servulo-esmeraldo/obras-e-biografia;;estuda litografia em Paris> datas precisas não localizadas na fonte consultada;Wikidata;alta;MAC USP;Paris, França;;;media;-7.2370585;-39.4160774;100.0;-3.7275;-38.5275;100.0;MAC USP;Wikidata: Fortaleza (Q43463);Wikidata: Fortaleza (Q43463);;alta
Tadahiro Ono;Japan;Ritsumeikan University;35.032579;135.724041;Aomori, Aomori, Japão;;Fukui;male;place_of_birth_tiered_dataset.csv;;dados recuperados de base auxiliar> datas não localizadas;MAC USP;alta;MAC USP;Kyoto, Japão;;;alta;40.822072;140.747365;;36.0640555556;136.2195833333;100.0;The National Museum of Art, Osaka;Wikidata: Fukui (Q201618);Wikidata: Fukui (Q201618);;alta
Tadashi Kaminagai;Japan;;;;Hiroshima;;Paris;male;https://pt.wikipedia.org/wiki/Tadashi_Kaminagai;;muda-se para Paris e é orientado na pintura por Tsuguharu Foujita> não foi localizada instituição formal;Wikidata;alta;MAC USP;Paris, França;1927;https://pt.wikipedia.org/wiki/Tadashi_Kaminagai;media;34.38524389;132.45534115;100.0;48.8566666667;2.3522222222;100.0;MARGS;Wikidata: Paris (Q90);Wikidata: Paris (Q90);"fonte indica Paris, França; local normalizado para Paris.";alta
Takashi Fukushima;;Muso School of Fine Arts;42.406949;-71.11982;São Paulo, SP, Brasil;;;male;Enciclopédia Itaú Cultural / fontes biográficas de referência;;;MAC USP;alta;MAC USP;Tóquio, Japão;1940;Enciclopédia Itaú Cultural / fontes biográficas de referência;alta;-23.5486657;-46.6382522;;;;;;;;"verbete atualizado; sem óbito identificado.";
Takuji Narumi;Japan;The University of Tokyo;35.71339;139.76232;Japan;;;male;The University of Tokyo;alto;FILE explicita “País de Origem: Japão”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;36.655226998;139.271495;100.0;;;;;;;"perfil institucional recente; sem óbito identificado.";
Tamiko Thiel;United States;Stanford University> Massachusetts Institute of Technology> Academy of Fine Arts, Munich;37.4275> 42.359722222222224> 48.1531959202723;-122.17> -71.09194444444445> 11.5803123911292;Oakland;;;female;CV oficial da artista;alto;;Wikidata;alta;FILE;;;;;37.804828;-122.27248;100.0;;;;;;;"site/atividade recente; sem óbito identificado.";
Tania Aedo;Mexico;Escuela Superior de Artes de Yucatán> Escuela Nacional de Artes Visuales, Universidad Nacional Autónoma de México;21> 19.353773;-89.6> -99.13589;Mexico;;;female;ZKM | FILE Festival;alto;FILE explicita “País de Origem: México”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;23.634501;-102.552784;;;;;;;;"perfil institucional recente; sem óbito identificado.";
Tarcizo;;;;;;;;;;;identificação incompleta> não foi possível desambiguar com segurança;;;MAC USP;;;;;;;;;;;;;;identidade insuficiente para desambiguação.;
Tarsila do Amaral;Brazil;Académie Julian> Colégio Sion;-23.541253;-46.66059;Capivari;Consolação Cemetery;São Paulo;female;site oficial Tarsila do Amaral;;também estudou com Pedro Alexandrino, Fernand Léger, André Lhote e Albert Gleizes;Wikidata;alta;MAC USP;São Paulo> Barcelona, Espanha> Paris, França;1904> 1920;site oficial Tarsila do Amaral;alta;-22.9993972;-47.5026334;100.0;-23.5503944444;-46.6339472222;100.0;MAC USP;Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;alta
Tatiana Blass;Brazil;São Paulo State University> Universidade Estadual Paulista (UNESP);-22.8172;-47.0694;São Paulo;;;female;https://pt.wikipedia.org/wiki/Tatiana_Blass;;;Wikidata;alta;MAC USP;São Paulo, Brasil;1998–2001;https://pt.wikipedia.org/wiki/Tatiana_Blass;alta;-23.5486657;-46.6382522;100.0;;;;;;;"site oficial recente; sem óbito identificado.";
Tatsuo Arai;;Tokyo School of Fine Arts;35.68944444444445;139.6916666666667;Nakatsu, Ōita, Japão;;;male;fontes biográficas de referência;;instituição identificada em fontes secundárias;MAC USP;alta;MAC USP;Tóquio, Japão;s.d.;fontes biográficas de referência;baixa;33.5982;131.1883;;;;;;;;sem fonte auditável de local de morte.;
Tatsuoki Nambata;Japan;Tokyo School of Fine Arts;35.68944444444445;139.6916666666667;Asahikawa;;Tokyo;male;fontes biográficas de referência;;instituição identificada em fontes sumárias;Wikidata;alta;MAC USP;Tóquio, Japão;s.d.;fontes biográficas de referência;baixa;43.77149871;142.36532907;100.0;35.6894444444;139.6916666667;100.0;The National Museum of Art, Osaka;Wikidata: Tokyo (Q1490);Wikidata: Tokyo (Q1490);;alta
Teodoro Braga;Brazil;Académie Julian> Faculdade de Direito do Recife> Escola Nacional de Belas Artes> Academia Julian;48.871111111111> -8.0595839> -22.8625055> 48.871111111111;2.3416666666667> -34.882675> -43.2256622> 2.3416666666667;Belém;;São Paulo;male;https://pt.wikipedia.org/wiki/Teodoro_Braga | https://obrasraras.fcp.pa.gov.br/book-author/theodoro-jose-da-silva-braga-1872-1953/ | https://fcp.pa.gov.br/galeriasfcp/pagina/209;;As fontes citam Jean-Paul Laurens e Benjamin Constant como mestres em Paris.;Wikidata;alta;Museu Paulista;Recife> Rio de Janeiro> Paris;bacharel em 1893> 1900-1905 em Paris;https://pt.wikipedia.org/wiki/Teodoro_Braga | https://fcp.pa.gov.br/galeriasfcp/pagina/209;alta;-1.4549817;-48.502273;100.0;-23.5503944444;-46.6339472222;100.0;Itaú Cultural;Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;alta
Teresa Berlinck;;Faculdade Santa Marcelina (FASM);-23.550394444444;-46.633947222222;;;;female;https://teresaberlinck.com.br/curriculo/;;A página consultada só explicita o mestrado em Produção, Teoria e Crítica em Artes Visuais.;;;MAC USP;São Paulo;mestrado concluído em 2006;https://teresaberlinck.com.br/curriculo/;media;;;;;;;;;;"site/CV recente; sem óbito identificado.";
Teresa Viana;Brazil;Escola de Artes Visuais do Parque Lage;-22.9606;-43.212;Rio de Janeiro, RJ, Brasil;;;female;place_of_birth_tiered_dataset.csv;;dados recuperados de base auxiliar> datas não localizadas;site oficial da artista;alta;MAC USP;Rio de Janeiro, Brasil;;;alta;-22.9014475;-43.1789159;;;;;;;;"site oficial recente; sem óbito identificado.";
Terezinha Veloso;Brazil;Federal University of Minas Gerais> Escola de Belas Artes da UFMG;-19.8690878;-43.9663841;Espinosa, MG, Brasil;;Belo Horizonte;female;https://pt.wikipedia.org/wiki/Terezinha_Veloso;;a fonte indica que se formou em artes plásticas na EBA/UFMG;Enciclopédia Itaú Cultural;alta;MAC USP;Belo Horizonte, Brasil;;;media;-10.769946429;-53.073466889;;-19.9280555556;-43.9419444444;100.0;Itaú Cultural;Wikidata: Belo Horizonte (Q31859976);Wikidata: Belo Horizonte (Q31859976);;alta
Tess Adams;United States;Pratt Institute;40.691111;-73.963889;United States;;;female;Pratt Institute | FILE Festival;alto;FILE explicita “País de Origem: Estados Unidos”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;39.398703156;-99.41461919;100.0;;;;;;;"site/biografia recente; sem óbito identificado.";
Tessa Peters;Netherlands;Winchester School of Art> Middlesex University;51.066> 51.5893495;-1.309> -0.2282466;Netherlands;;;female;University of Westminster;alto;FILE explicita “País de Origem: Países Baixos”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;52.249375293;5.616126398;100.0;;;;;;;"site/biografia recente; sem óbito identificado.";
Teun Vonk;Kingdom of the Netherlands;Royal Academy of Art;52.08161111111111;4.319166666666667;Uden;;;male;Lab for the Unstable Media;médio;;Wikidata;alta;FILE;;;;;51.659797218;5.621042999;100.0;;;;;;;"site/biografia recente; sem óbito identificado.";
Thais Weiller;Brazil;University of São Paulo> Centro Universitário de Maringá;-23.425;-51.938888888889;Brazil;;;female;ORCID | site da artista;médio;FILE explicita “País de Origem: Brasil”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;-10.769946429;-53.073466889;100.0;;;;;;;"perfil/atividade recente; sem óbito identificado.";
Theodor Werner;Germany;Stuttgarter Akademie> atelier de Charles Guérin;48.7775;9.18;Itzehoe;;Munich;male;https://de.wikipedia.org/wiki/Theodor_Werner_(Maler);;formação artística paralela à atividade como professor;Wikidata;alta;MAC USP;Stuttgart, Alemanha> Paris, França;1908–1909> 1909–1914;https://de.wikipedia.org/wiki/Theodor_Werner_(Maler);media;53.920549999;9.515569;100.0;48.143438999;11.573599;100.0;Stadt München;Wikidata: Munich (Q1726);Wikidata: Munich (Q1726);;alta
Thiago Cóser;Brazil;Universidade Estadual de Campinas;-22.817222222222;-47.069444444444;Brazil;;;male;FILE Festival;alto;FILE explicita “País de Origem: Brasil”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;-10.769946429;-53.073466889;100.0;;;;;;;"atividade profissional recente; sem óbito identificado.";
Thiago Sacramento;Brazil;Universidade Federal de Juiz de Fora> Faculdade Angel Vianna;-21.7747> -22.9396151;-43.3683> -43.1805362;Nova Iguaçu, Brazil;;;male;FILE Festival;médio;Biografia do FILE explicita nascimento em Nova Iguaçu.;FILE Festival (biografia do artista);alta;FILE;;;;alta;-22.7597835;-43.45151;;;;;;;;"perfil FILE recente; sem óbito identificado.";
Thoka Maer;Germany;Universität der Künste Berlin;52.50916666666667;13.32694444444444;Germany;;;female;site pessoal da artista | Goethe-Institut;alto;FILE explicita “País de Origem: Alemanha”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;51.110631049;10.392277932;100.0;;;;;;;"site autoral/Behance recentes; sem óbito identificado.";
Thomas Ender;Austrian Empire;Academy of Fine Arts Vienna;48.201388888889;16.365277777778;Vienna;;Vienna;male;https://en.wikipedia.org/wiki/Thomas_Ender | https://enciclopedia.itaucultural.org.br/pessoas/3910-thomas-ender;;As fontes citam estudo com Hubert Maurer, Laurenz Janscha e Joseph Mössmer.;Wikidata;alta;MASP;Viena;desde 1806;https://enciclopedia.itaucultural.org.br/pessoas/3910-thomas-ender | https://en.wikipedia.org/wiki/Thomas_Ender;alta;48.2092062;16.3727778;100.0;48.2092062;16.3727778;100.0;Wikipedia;Wikidata (Vienna);Wikidata (Vienna);"fontes adicionadas em auditoria; coordenadas auditadas para a cidade.";media
Thomas Gainsborough;United Kingdom;Sudbury Grammar School> St Martin's Lane Academy> estudos com Hubert Gravelot e Francis Hayman;51.5117;-0.127333;Sudbury;St Anne's Church, Kew;London;male;https://en.wikipedia.org/wiki/Thomas_Gainsborough | https://www.britannica.com/biography/Thomas-Gainsborough;;;Wikidata;alta;MASP;Londres;a partir de c.1740;https://en.wikipedia.org/wiki/Thomas_Gainsborough;alta;52.039223856;0.731878053;100.0;51.50722;-0.1275;100.0;National Galleries of Scotland;Wikipedia (London);Wikipedia (London);"fontes adicionadas em auditoria; coordenadas auditadas para a cidade.";alta
Thomas Lawrence;United Kingdom of Great Britain and Ireland;Royal Academy of Arts> formação artística em grande parte autodidata, com orientação do pai;51.509166666667>;-0.13944444444444>;Bristol;St Paul's Cathedral;London;male;https://en.wikipedia.org/wiki/Thomas_Lawrence;;As fontes não sustentam escola formal clara> mantido como autodidata/orientação familiar.;Wikidata;alta;MASP;Inglaterra;;;baixa;51.453132471;-2.600983373;100.0;51.50722;-0.1275;100.0;Wikipedia;Wikipedia (London);Wikipedia (London);"fontes adicionadas em auditoria; coordenadas auditadas para a cidade.";media
Thomas Lyde Hornbrook;Kingdom of Great Britain;formação militar britânica e prática de desenho topográfico;;;;;;male;https://www.brasilianaiconografica.art.br/autores/20146/thomas-lyde-hornbrook;;A fonte aberta consultada não nomeia instituição específica.;;;Coleção Brasiliana Itaú;Inglaterra;;;baixa;;;;;;;;;;óbito localizado, mas local de morte não confirmado com fonte robusta.;
Thy Nguyen;United Kingdom;Bournemouth University;50.7432;-1.8969;United Kingdom;;;female;FILE Festival;alto;FILE explicita “País de Origem: Reino Unido”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;53.408386605;-1.969559544;100.0;;;;;;;"perfil/atividade recente; sem óbito identificado.";
Tikashi Fukushima;Japan;aprendizado/assistência com Tadashi Kaminagai;-22.8625055;-43.2256622;Sōma-shi;;São Paulo;male;Enciclopédia Itaú Cultural;;instituição formal não localizada com segurança nesta passada;Wikidata;alta;MAC USP;Rio de Janeiro, Brasil;1946;Enciclopédia Itaú Cultural;media;37.79733207;140.91896953;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);"fontes adicionadas em auditoria; coordenadas auditadas para o município de São Paulo.";alta
Timothy Weaver;United States;University of Colorado Boulder> Purdue University;40.006666666667> 40.425;-105.26722222222> -86.92305555555555;United States;;;male;University of Denver;alto;FILE explicita “País de Origem: Estados Unidos”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;39.398703156;-99.41461919;100.0;;;;;;;óbito confirmado em fonte institucional, mas local de morte não explicitado.;
Titian;Republic of Venice;aprendizagem com Sebastiano Zuccato> oficina de Gentile Bellini> oficina de Giovanni Bellini;> > ;> > ;Pieve di Cadore;Santa Maria Gloriosa dei Frari;Venice;male;https://www.britannica.com/biography/Titian | https://en.wikipedia.org/wiki/Titian;;Formação descrita por mestres e oficinas venezianas.;Wikidata;alta;MASP;Veneza;c.1490s;https://www.britannica.com/biography/Titian | https://en.wikipedia.org/wiki/Titian;alta;46.4285225;12.3740656;100.0;45.434608;12.338913;100.0;Wikipedia;Wikidata: Venice;Wikidata: Venice;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade.";media
Tivon Rice;Netherlands;University of Colorado Boulder> University of Washington;40.006666666667> 47.65416666666667;-105.26722222222> -122.30805555555555;;;;male;DXARTS | Artist Trust;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"perfil universitário recente; sem óbito identificado.";
Tom Morris;;;;;;;;male;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;homônimo não desambiguado com segurança.;
Tomek Jarolim;France;École supérieure d'art d'Aix-en-Provence> School of the Art Institute of Chicago;43.5307;5.44105;Aix-en-Provence;;;male;FILE Festival;médio;;Wikidata;alta;FILE;;;;;43.529850239;5.447376271;100.0;;;;;;;"site/biografia recente; sem óbito identificado.";
